0|iata_code|1|city_rus|2|city_eng
AAA|AAA|Анаа|Анаа|Anaa|Anaa
AAB|AAB|||Arrabury|Arrabury
AAC|AAC|Аль-Ариш|Аль-Ариш|Al Arish|Al Arish
AAD|AAD|||Ad-Dabbah|Ad-Dabbah
AAE|AAE|||Annaba|Annaba
AAF|AAF|||Apalachicola|Apalachicola
AAG|AAG|||Arapoti|Arapoti
AAH|AAH|Аахен|Аахен|Aachen|Aachen
AAI|AAI|||Arraias|Arraias
AAJ|AAJ|Аварадам|Аварадам|Awaradam|Awaradam
AAK|AAK|Аранука|Аранука|Aranuka|Aranuka
AAL|AAL|Аальбург|Аальбург|Aalborg|Aalborg
AAM|AAM|Мала-Мала|Мала-Мала|Mala Mala|Mala Mala
AAN|AAN|Аль-Айн|Аль-Айн|Al Ain|Al Ain
AAO|AAO|Анако|Анако|Anaco|Anaco
AAP|AAP|||Houston, TX|Houston, TX
AAQ|AAQ|Анапа|Анапа|Anapa|Anapa
AAR|AAR|Аарус|Аарус|Aarhus|Aarhus
AAS|AAS|||Apalapsili|Apalapsili
AAT|AAT|Алтай|Алтай|Altay|Altay
AAU|AAU|Асау|Асау|Asau|Asau
AAV|AAV|||Surallah|Surallah
AAW|AAW|||Abbottabad|Abbottabad
AAX|AAX|||Araxa|Araxa
AAY|AAY|Аль-Гайда|Аль-Гайда|Al Ghaydah|Al Ghaydah
AAZ|AAZ|||Ambriz|Ambriz
ABA|ABA|Абакан|Абакан|Abakan|Abakan
ABB|ABB|Абингдон|Абингдон|Abingdon|Abingdon
ABC|ABC|Албасет|Албасет|Albacete|Albacete
ABD|ABD|Абадан|Абадан|Abadan|Abadan
ABF|ABF|Абайянг|Абайянг|Abaiang|Abaiang
ABG|ABG|Абингдон|Абингдон|Abingdon|Abingdon
ABH|ABH|||Alpha|Alpha
ABI|ABI|||Abilene|Abilene
ABJ|ABJ|Абиджан|Абиджан|Abidjan|Abidjan
ABK|ABK|Кабри-Дар|Кабри-Дар|Kabri Dar|Kabri Dar
ABL|ABL|||Ambler|Ambler
ABM|ABM|||Bamaga, Queensland|Bamaga, Queensland
ABN|ABN|Альбина|Альбина|Albina|Albina
ABO|ABO|||Aboisso|Aboisso
ABP|ABP|Аткамба|Аткамба|Atkamba|Atkamba
ABQ|ABQ|Альбукерк|Альбукерк|Albuquerque|Albuquerque
ABR|ABR|||Aberdeen|Aberdeen
ABS|ABS|Абу-Симбель|Абу-Симбель|Abu Simbel|Abu Simbel
ABT|ABT|||Al-Baha|Al-Baha
ABU|ABU|||Atambua|Atambua
ABV|ABV|Абуджа|Абуджа|Abuja|Abuja
ABW|ABW|Абау|Абау|Abau|Abau
ABX|ABX|Элбери|Элбери|Albury|Albury
ABY|ABY|Олбани|Олбани|Albany|Albany
ABZ|ABZ|||Aberdeen|Aberdeen
ACB|ACB|||Bellaire|Bellaire
ACC|ACC|||Accra|Accra
ACD|ACD|Аканди|Аканди|Acandi|Acandi
ACE|ACE|Арресиф|Арресиф|Arrecife|Arrecife
ACH|ACH|||Altenrhein|Altenrhein
ACI|ACI|Элдерни|Элдерни|Alderney|Alderney
ACJ|ACJ|Анурадхапура|Анурадхапура|Anuradhapura|Anuradhapura
ACK|ACK|||Nantucket|Nantucket
ACL|ACL|||Aguaclara|Aguaclara
ACM|ACM|Арика|Арика|Arica|Arica
ACN|ACN|Сиудад-Акуна|Сиудад-Акуна|Ciudad Acuna|Ciudad Acuna
ACO|ACO|Аскона|Аскона|Ascona|Ascona
ACP|ACP|||Sahand|Sahand
ACR|ACR|Араракуара|Араракуара|Araracuara|Araracuara
ACS|ACS|Ачинск|Ачинск|Achinsk|Achinsk
ACT|ACT|Вако|Вако|Waco|Waco
ACU|ACU|Ахутупо|Ахутупо|Achutupo|Achutupo
ACV|ACV|||Arcata|Arcata
ACX|ACX|||Xingyi|Xingyi
ACY|ACY|Атлантик Сити|Атлантик Сити|Atlantic City|Atlantic City
ACZ|ACZ|Забол|Забол|Zabol|Zabol
ADA|ADA|Адана|Адана|Adana|Adana
ADB|ADB|Измир|Измир|Izmir|Izmir
ADC|ADC|||Andakombe|Andakombe
ADD|ADD|Аддис Абеба|Аддис Абеба|Addis Ababa|Addis Ababa
ADE|ADE|Аден|Аден|Aden|Aden
ADF|ADF|||Adiyaman|Adiyaman
ADG|ADG|||Adrian|Adrian
ADH|ADH|Алдан|Алдан|Aldan|Aldan
ADI|ADI|||Arandis|Arandis
ADJ|ADJ|Амман|Амман|Amman|Amman
ADK|ADK|||Adak Island|Adak Island
ADL|ADL|Аделаида|Аделаида|Adelaide|Adelaide
ADM|ADM|Ардмор|Ардмор|Ardmore|Ardmore
ADN|ADN|Андес|Андес|Andes|Andes
ADO|ADO|||Andamooka|Andamooka
ADP|ADP|||Ampara|Ampara
ADQ|ADQ|||Kodiak|Kodiak
ADR|ADR|||Andrews|Andrews
ADS|ADS|Даллас|Даллас|Dallas|Dallas
ADT|ADT|Ада|Ада|Ada|Ada
ADU|ADU|||Ardabil|Ardabil
